0,1,2,3,4,5,6,7,8
1.38355895,0.18614784,0.58232495,0.16304785,1.36678152,0.6424513,0.64051841,1.25816376,1.28580581
1.3675646,-0.03816339,0.50143259,0.14120843,1.22558376,0.73871681,0.5572088,0.81573485,1.20087467
1.3674336,0.03449045,0.49273421,0.13528091,0.84004762,0.68326467,0.59890153,1.25044115,1.2702242
1.34742374,0.12042227,0.61207821,0.11636838,1.02061274,0.70308823,0.52492127,1.24271577,1.16651379
1.37380444,0.20994372,0.51423607,0.16327988,1.32542685,0.58564659,0.45090589,0.92588663,1.27102954
1.34748103,0.10105228,0.44034158,0.1387066,0.99520008,0.67828855,0.51300676,1.21462154,1.26050307
1.33221687,-0.04874868,0.55306821,0.12238943,1.31506376,0.59028718,0.43069407,0.83557575,1.18334558
1.34757652,-0.04455222,0.46752248,0.13306174,1.30208243,0.77035417,0.67960555,0.907524,1.29175289
1.37429308,0.08719614,0.68191197,0.1457002,1.11726643,0.73458162,0.43279596,1.06036027,1.28988404
1.35789679,0.11368444,0.55074404,0.17608501,0.99298528,0.78520433,0.53413864,0.90708815,1.17203591
1.3228672,0.22460394,0.59115955,0.16251838,1.35929149,0.7832207,0.50493932,1.00876182,1.23129222
1.33956932,0.0239962,0.58393477,0.15779203,1.0593802,0.86732857,0.60253669,1.26701162,1.18362211
1.3475189,0.1508845,0.6866842,0.15154933,1.37290801,0.76052089,0.53172232,1.12817034,1.18164184
1.35978464,0.35391411,0.48226789,0.13605689,1.37035217,0.73686065,0.60300746,1.06775354,1.1548755
1.37747105,0.18210879,0.63162115,0.11873486,1.33664072,1.08708562,0.60030109,1.21518059,1.24135859
1.35810107,0.27647725,0.40891151,0.15831014,1.18255958,0.69596317,0.57044947,1.13098124,1.2476656
1.30750431,0.02996135,0.50632721,0.11524257,1.11664255,0.66745013,0.43232889,0.87618514,1.16877066
1.29588756,0.02416756,0.48746917,0.18000678,1.15137023,0.7728682,0.53121034,1.16908943,1.25701209
1.3529068,0.05054963,0.51258594,0.17472522,1.04951615,0.7311963,0.46370711,0.86235726,1.30237638
1.31190193,0.08985683,0.60440876,0.15922898,1.19260006,0.6181196,0.48644647,1.1637268,1.29384056
1.37787564,0.02281227,0.63807072,0.11530653,0.85423638,1.05625346,0.51141274,1.04632422,1.3000833
1.37151117,0.33658006,0.54388336,0.12145963,1.01543561,0.72067512,0.68304626,0.99615998,1.29541739
1.35218477,0.10003519,0.56883812,0.20776226,1.00528063,0.92619931,0.52137068,1.14960561,1.23381356
1.28931289,-0.04292619,0.46211883,0.15646407,1.19815194,0.6437496,0.49240967,1.04220005,1.1928423
1.37125674,0.12177755,0.48045848,0.13234455,1.00428119,1.03700146,0.5012671,0.8971163,1.20842644
1.36507042,-0.02674074,0.53760619,0.23935899,1.04090761,0.67524865,0.57605204,1.26738358,1.19018269
1.32998657,0.06090011,0.58992807,0.17906594,1.22257306,0.9559039,0.56957759,1.26154074,1.24332888
1.35280548,0.19931858,0.55823074,0.16587527,1.16725237,0.82742968,0.57834717,1.0442035,1.1156792
1.36239255,0.01399354,0.48923124,0.11670662,0.65743237,0.73966126,0.63753008,0.991504,1.25814764
1.36132977,-0.027191,0.49532066,0.22841522,1.30551735,0.54787325,0.47304143,1.23884131,1.21617181
1.31502705,-0.02468423,0.52123586,0.23125486,1.33202832,0.79533247,0.5056045,1.04727507,1.1697835
1.36623251,0.18104351,0.58269522,0.12947109,1.18804818,1.07615949,0.52134641,0.89604297,1.269627
1.36815151,0.19236386,0.52783123,0.14466369,1.04213172,1.03815541,0.61871307,1.06792022,1.19155958
1.3465604,0.1307275,0.46155348,0.12219405,1.12732372,1.0277624,0.50754384,1.29024188,1.28136484
1.31490788,0.04088168,0.54595279,0.19167601,1.34130933,0.83738042,0.43703085,1.06941058,1.15277464
1.33238618,0.04532485,0.57193783,0.12134334,0.92385526,0.53133367,0.59433928,1.27930676,1.21705627
1.38236483,0.07796408,0.40733865,0.16360769,1.26821586,0.80864275,0.66762259,1.19710486,1.18163443
1.28641695,0.05079405,0.60065085,0.14699339,1.33430034,0.77575381,0.63758617,1.27914249,1.28024068
1.3743938,-0.04971969,0.5473691,0.23559192,0.93358768,0.79212018,0.4553448,1.13515381,1.1423703
1.3807826,0.30197951,0.52347434,0.13861728,1.264575,0.74651998,0.5959744,0.86434117,1.11522856
1.34409159,0.16841553,0.64214438,0.15153745,1.11634826,0.84849004,0.47411629,1.25798744,1.25123813
1.29287385,-0.02720172,0.5190945,0.20735084,1.22119168,0.69309277,0.50928114,1.07192009,1.16849679
1.27591778,0.08773436,0.49459884,0.13539913,1.27743189,0.73766474,0.62801992,1.31001136,1.2459732
1.35077345,0.26238724,0.4772878,0.1312569,1.12925137,0.94318257,0.64610704,1.15226737,1.19758783
1.35531393,0.26590195,0.50313372,0.18515477,1.14865226,0.63489735,0.64475502,1.26886529,1.22571783
1.35153997,0.00824424,0.52006587,0.21393875,1.03143279,0.54548269,0.50452004,1.23637878,1.2245652
1.38036553,0.08589139,0.47029133,0.20692721,1.1883251,0.85069859,0.44958677,1.2553418,1.13021467
1.3273346,0.14128421,0.57947671,0.14288925,1.10059907,0.56139913,0.48564791,0.9783682,1.11714242
1.34929756,0.36434793,0.53176848,0.20975789,1.32936367,0.68355393,0.56683019,1.16216072,1.23846384
1.36501415,0.41072791,0.56026327,0.15035004,1.33543483,0.82451592,0.54761785,1.10372175,1.13092373
